Species,Official gene symbol,UI,Sensitivity (human),Sensitivity (mouse),Specificity (human),Specificity (mouse),Cell type,Germ layer,Organ,Aliases,Product description,Disease,Action
Mm Hs,UCP2,0.013,0.125,0.0,0.005,0.0,Delta cells,Endoderm,Pancreas,"SLC25A8,BMIQ4",uncoupling protein 2,Y,flag
Mm Hs,LEPR,0.005,0.0,0.0,0.008,0.004,Delta cells,Endoderm,Pancreas,"OBR,CD295",leptin receptor,Y,flag
Mm Hs,BAIAP3,0.003,0.0,0.1,0.0,0.004,Delta cells,Endoderm,Pancreas,"BAP3,KIAA0734",BAI1 associated protein 3,,flag
Hs,MS4A8,0.001,0.0,0.0,0.004,0.0,Delta cells,Endoderm,Pancreas,"CD20L5,MS4A8B",membrane spanning 4-domains A8,,flag
Mm Hs,CASR,0.001,0.0,0.1,0.002,0.0,Delta cells,Endoderm,Pancreas,"FHH,NSHPT,GPRC2A,HHC,HHC1",calcium sensing receptor,Y,flag
Mm Hs,BCHE,0.003,0.0,0.0,0.005,0.002,Delta cells,Endoderm,Pancreas,CHE2,butyrylcholinesterase,,flag
Mm Hs,GABRB3,0.025,0.125,0.2,0.004,0.03,Delta cells,Endoderm,Pancreas,,gamma-aminobutyric acid type A receptor beta3 subunit,Y,flag
Mm Hs,UNC5B,0.002,0.0,0.0,0.0,0.0,Delta cells,Endoderm,Pancreas,"UNC5H2,p53RDL1",unc-5 netrin receptor B,,flag
Mm Hs,EDN3,0.003,0.125,0.0,0.002,0.004,Delta cells,Endoderm,Pancreas,ET3,endothelin 3,Y,flag
Mm Hs,PRG4,0.004,0.0,0.0,0.002,0.004,Delta cells,Endoderm,Pancreas,"JCAP,SZP,HAPO,bG174L6.2,FLJ32635,CACP",proteoglycan 4,Y,flag
Mm Hs,GHSR,0.0,0.0,0.0,0.0,0.0,Delta cells,Endoderm,Pancreas,,growth hormone secretagogue receptor,Y,flag
Mm Hs,FRZB,0.012,0.125,0.8,0.03,0.007,Delta cells,Endoderm,Pancreas,"FRZB-PEN,FRZB1,SRFP3,FRP-3,SFRP3,FRE,FRITZ,FRZB-1,FZRB,hFIZ",frizzled related protein,Y,flag
Mm Hs,PCSK1,0.008,0.75,0.4,0.008,0.008,Delta cells,Endoderm,Pancreas,"PC1,NEC1",proprotein convertase subtilisin/kexin type 1,Y,flag
Mm Hs,GABRG2,0.024,0.0,0.0,0.001,0.03,Delta cells,Endoderm,Pancreas,,gamma-aminobutyric acid type A receptor gamma2 subunit,Y,flag
Mm Hs,POU3F1,0.013,0.0,0.0,0.0,0.017,Delta cells,Endoderm,Pancreas,"OCT6,SCIP,OTF6",POU class 3 homeobox 1,,flag
Mm Hs,BHLHE41,0.031,0.0,0.1,0.008,0.037,Delta cells,Endoderm,Pancreas,"DEC2,SHARP-1,SHARP1,bHLHe41,BHLHB3",basic helix-loop-helix family member e41,Y,flag
Mm Hs,EHF,0.024,0.0,0.4,0.052,0.019,Delta cells,Endoderm,Pancreas,"ESE3,ESEJ",ETS homologous factor,,flag
Mm Hs,LCORL,0.015,0.0,0.0,0.011,0.016,Delta cells,Endoderm,Pancreas,"MLR1,FLJ30696",ligand dependent nuclear receptor corepressor like,,flag
Mm Hs,ETV1,0.037,0.125,0.8,0.008,0.045,Delta cells,Endoderm,Pancreas,ER81,ETS variant 1,,flag
Mm Hs,PAX4,0.001,0.0,0.0,0.0,0.001,Delta cells,Endoderm,Pancreas,MODY9,paired box 4,Y,flag
Mm Hs,PDX1,0.005,0.125,0.7,0.006,0.004,Delta cells,Endoderm,Pancreas,"IDX-1,STF-1,PDX-1,MODY4,IPF1",pancreatic and duodenal homeobox 1,Y,flag
Mm Hs,FFAR4,0.005,0.25,0.9,0.004,0.004,Delta cells,Endoderm,Pancreas,"PGR4,GPR129,GPR120,O3FAR1",free fatty acid receptor 4,Y,flag
Mm Hs,SST,0.027,1.0,0.0,0.045,0.0,Delta cells,Endoderm,Pancreas,SMST,somatostatin,,flag
Mm Hs,PCSK9,0.005,0.0,0.0,0.0,0.006,Delta cells,Endoderm,Pancreas,"NARC-1,FH3,HCHOLA3",proprotein convertase subtilisin/kexin type 9,Y,flag
Mm Hs,RBP4,0.032,0.875,0.0,0.035,0.0,Delta cells,Endoderm,Pancreas,,retinol binding protein 4,Y,flag
Mm Hs,HHEX,0.037,1.0,1.0,0.02,0.039,Delta cells,Endoderm,Pancreas,"HEX,HOX11L-PEN,PRHX",hematopoietically expressed homeobox,,flag
Mm Hs,ISL1,0.028,1.0,1.0,0.011,0.031,Delta cells,Endoderm,Pancreas,"Isl-1,ISLET1",ISL LIM homeobox 1,,flag
Mm Hs,SCGN,0.014,0.875,0.0,0.028,0.0,Delta cells,Endoderm,Pancreas,"SECRET,DJ501N12.8,SEGN,CALBL","secretagogin, EF-hand calcium binding protein",,flag
Mm Hs,KCNK16,0.007,0.125,1.0,0.008,0.006,Delta cells,Endoderm,Pancreas,"K2p16.1,TALK-1,TALK1",potassium two pore domain channel subfamily K member 16,,flag
Mm Hs,RESP18,0.062,0.0,0.0,0.0,0.0,Delta cells,Endoderm,Pancreas,,regulated endocrine specific protein 18,,flag
Mm Hs,S100A9,0.061,0.517,0.0,0.083,0.0,Dendritic cells,Mesoderm,Immune system,"MIF,NIF,LIAG,MRP14,MAC387,CGLB,CAGB",S100 calcium binding protein A9,,flag
Mm Hs,ARG1,0.007,0.0,0.0,0.004,0.007,Dendritic cells,Mesoderm,Immune system,,arginase 1,Y,flag
Mm Hs,TREM2,0.042,0.027,0.0,0.006,0.0,Dendritic cells,Mesoderm,Immune system,"TREM-2,Trem2a,Trem2b,Trem2c",triggering receptor expressed on myeloid cells 2,Y,flag
Mm Hs,FABP4,0.028,0.034,0.024,0.009,0.033,Dendritic cells,Mesoderm,Immune system,"A-FABP,aP2",fatty acid binding protein 4,,flag
Hs,HLA-DRA,0.039,1.0,0.0,0.174,0.0,Dendritic cells,Mesoderm,Immune system,HLA-DRA1,"major histocompatibility complex, class II, DR alpha",,flag
Mm Hs,IL6,0.007,0.0,0.0,0.014,0.006,Dendritic cells,Mesoderm,Immune system,"IL-6,BSF2,HSF,IFNB2",interleukin 6,Y,flag
Mm Hs,CD86,0.026,0.204,0.643,0.003,0.028,Dendritic cells,Mesoderm,Immune system,"B7.2,B7-2,CD28LG2",CD86 molecule,,flag
Mm Hs,CD83,0.045,0.449,0.857,0.019,0.045,Dendritic cells,Mesoderm,Immune system,"HB15,BL11",CD83 molecule,,flag
Hs,CD1A,0.0,0.0,0.0,0.0,0.0,Dendritic cells,Mesoderm,Immune system,,CD1a molecule,,flag
Mm Hs,CR2,0.001,0.0,0.0,0.001,0.001,Dendritic cells,Mesoderm,Immune system,"CD21,C3DR",complement C3d receptor 2,Y,flag
Mm Hs,TLR9,0.0,0.0,0.0,0.0,0.0,Dendritic cells,Mesoderm,Immune system,CD289,toll like receptor 9,,flag
Hs,CD1C,0.001,0.095,0.0,0.001,0.0,Dendritic cells,Mesoderm,Immune system,,CD1c molecule,,flag
Hs,CD209,0.0,0.0,0.0,0.0,0.0,Dendritic cells,Mesoderm,Immune system,"DC-SIGN,CDSIGN,DC-SIGN1,CLEC4L",CD209 molecule,Y,flag
Mm Hs,LAMP3,0.008,0.034,0.0,0.012,0.007,Dendritic cells,Mesoderm,Immune system,"TSC403,DC-LAMP,DCLAMP,CD208",lysosomal associated membrane protein 3,,flag
Hs,CD1B,0.0,0.0,0.0,0.0,0.0,Dendritic cells,Mesoderm,Immune system,,CD1b molecule,,flag
Mm,H2-M2,0.002,0.0,0.286,0.0,0.002,Dendritic cells,Mesoderm,Immune system,,"histocompatibility 2, M region locus 2",,flag
Hs,HLA-DQA1,0.01,0.551,0.0,0.027,0.0,Dendritic cells,Mesoderm,Immune system,HLA-DQA,"major histocompatibility complex, class II, DQ alpha 1",Y,flag
Hs,HLA-DMB,0.009,0.483,0.0,0.023,0.0,Dendritic cells,Mesoderm,Immune system,"D6S221E,RING7","major histocompatibility complex, class II, DM beta",,flag
Hs,HLA-DMA,0.022,0.81,0.0,0.09,0.0,Dendritic cells,Mesoderm,Immune system,"D6S222E,RING6","major histocompatibility complex, class II, DM alpha",,flag
Hs,HLA-DQB1,0.012,0.633,0.0,0.037,0.0,Dendritic cells,Mesoderm,Immune system,HLA-DQB,"major histocompatibility complex, class II, DQ beta 1",Y,flag
Mm Hs,CLEC10A,0.01,0.238,0.0,0.001,0.01,Dendritic cells,Mesoderm,Immune system,"HML2,HML,CD301,CLECSF14",C-type lectin domain containing 10A,,flag
Hs,HLA-DRB1,0.033,0.986,0.0,0.141,0.0,Dendritic cells,Mesoderm,Immune system,HLA-DR1B,"major histocompatibility complex, class II, DR beta 1",Y,flag
Hs,HLA-DPA1,0.031,1.0,0.0,0.131,0.0,Dendritic cells,Mesoderm,Immune system,HLA-DP1A,"major histocompatibility complex, class II, DP alpha 1",,flag
Hs,HLA-DPB1,0.032,1.0,0.0,0.138,0.0,Dendritic cells,Mesoderm,Immune system,HLA-DP1B,"major histocompatibility complex, class II, DP beta 1",,flag
Mm Hs,DNASE1L3,0.015,0.095,0.571,0.006,0.015,Dendritic cells,Mesoderm,Immune system,"DNAS1L3,LSD",deoxyribonuclease 1 like 3,Y,flag
Mm Hs,CLEC9A,0.002,0.061,0.452,0.001,0.0,Dendritic cells,Mesoderm,Immune system,"UNQ9341,HEEE9341,CD370,DNGR-1",C-type lectin domain containing 9A,,flag
Hs,LILRB2,0.002,0.19,0.0,0.001,0.0,Dendritic cells,Mesoderm,Immune system,"LIR-2,ILT4,MIR-10,LIR2,CD85d,MIR10",leukocyte immunoglobulin like receptor B2,,flag
Mm Hs,ETV6,0.015,0.252,0.238,0.039,0.007,Dendritic cells,Mesoderm,Immune system,TEL,ETS variant 6,Y,flag
Mm Hs,CD163,0.005,0.095,0.0,0.003,0.004,Dendritic cells,Mesoderm,Immune system,"MM130,SCARI1",CD163 molecule,,flag
Mm Hs,CXCR4,0.04,0.456,0.048,0.186,0.009,Dendritic cells,Mesoderm,Immune system,"LESTR,NPY3R,HM89,NPYY3R,D2S201E,fusin,HSY3RR,CD184",C-X-C motif chemokine receptor 4,Y,flag
Hs,CXCL8,0.02,0.361,0.0,0.107,0.0,Dendritic cells,Mesoderm,Immune system,"SCYB8,LUCT,LECT,MDNCF,TSG-1,IL-8,NAP-1,3-10C,MONAP,AMCF-I,LYNAP,NAF,b-ENAP,GCP-1,K60,GCP1,IL8",C-X-C motif chemokine ligand 8,,flag
Mm Hs,VSIG4,0.005,0.204,0.0,0.004,0.0,Dendritic cells,Mesoderm,Immune system,Z39IG,V-set and immunoglobulin domain containing 4,,flag
Mm Hs,NR4A3,0.01,0.102,0.214,0.008,0.009,Dendritic cells,Mesoderm,Immune system,"CSMF,MINOR",nuclear receptor subfamily 4 group A member 3,Y,flag
Mm Hs,CCR7,0.016,0.054,0.429,0.041,0.01,Dendritic cells,Mesoderm,Immune system,"BLR2,CDw197,CD197,CMKBR7,EBI1",C-C motif chemokine receptor 7,,flag
Mm Hs,TRAF1,0.01,0.02,0.0,0.005,0.0,Dendritic cells,Mesoderm,Immune system,EBI6,TNF receptor associated factor 1,,flag
Mm Hs,RELB,0.015,0.061,0.0,0.014,0.0,Dendritic cells,Mesoderm,Immune system,REL-B,"RELB proto-oncogene, NF-kB subunit",,flag
Mm Hs,BATF3,0.008,0.061,0.905,0.007,0.005,Dendritic cells,Mesoderm,Immune system,"JUNDM1,SNFT",basic leucine zipper ATF-like transcription factor 3,,flag
Mm Hs,CCL22,0.002,0.007,0.452,0.001,0.001,Dendritic cells,Mesoderm,Immune system,"STCP-1,ABCD-1,DC/B-CK,A-152E5.1,MGC34554,SCYA22",C-C motif chemokine ligand 22,,flag
Mm Hs,SLAMF7,0.013,0.02,0.0,0.007,0.0,Dendritic cells,Mesoderm,Immune system,"CRACC,19A,CS1,CD319",SLAM family member 7,,flag
Mm Hs,XCR1,0.001,0.014,0.0,0.0,0.0,Dendritic cells,Mesoderm,Immune system,"GPR5,CCXCR1",X-C motif chemokine receptor 1,,flag
Mm,H2-DMA,0.065,0.0,0.714,0.0,0.075,Dendritic cells,Mesoderm,Immune system,,"histocompatibility 2, class II, locus DMa",,flag
Mm Hs,CXCL16,0.048,0.265,0.905,0.056,0.043,Dendritic cells,Mesoderm,Immune system,"SR-PSOX,CXCLG16,SRPSOX",C-X-C motif chemokine ligand 16,,flag
Mm Hs,SCIMP,0.008,0.014,0.0,0.001,0.0,Dendritic cells,Mesoderm,Immune system,"DTFT5783,UNQ5783,FLJ32580,MGC163426,MGC163428,C17orf87",SLP adaptor and CSK interacting membrane protein,,flag
Mm Hs,FCGR2B,0.031,0.075,0.405,0.001,0.035,Dendritic cells,Mesoderm,Immune system,CD32B,Fc fragment of IgG receptor IIb,Y,flag
Mm Hs,FGD2,0.017,0.177,0.476,0.004,0.017,Dendritic cells,Mesoderm,Immune system,ZFYVE4,"FYVE, RhoGEF and PH domain containing 2",,flag
Mm Hs,RAB7B,0.013,0.027,0.0,0.001,0.0,Dendritic cells,Mesoderm,Immune system,"MGC9726,MGC16212","RAB7B, member RAS oncogene family",,flag
Mm Hs,NAAA,0.025,0.218,0.5,0.004,0.027,Dendritic cells,Mesoderm,Immune system,ASAHL,N-acylethanolamine acid amidase,,flag
Mm Hs,HCK,0.031,0.401,0.595,0.005,0.032,Dendritic cells,Mesoderm,Immune system,JTK9,"HCK proto-oncogene, Src family tyrosine kinase",,flag
Mm Hs,CD180,0.012,0.0,0.333,0.001,0.013,Dendritic cells,Mesoderm,Immune system,"RP105,Ly78,LY64",CD180 molecule,,flag
Mm,RETNLA,0.004,,,,,Dendritic cells,Mesoderm,Immune system,,resistin like alpha,,flag
Mm Hs,HFE,0.017,0.0,0.452,0.0,0.02,Dendritic cells,Mesoderm,Immune system,HLA-H,homeostatic iron regulator,Y,flag
Mm Hs,CCR2,0.022,0.0,0.452,0.0,0.025,Dendritic cells,Mesoderm,Immune system,"CC-CKR-2,CKR2,MCP-1-R,CD192,FLJ78302,CMKBR2",C-C motif chemokine receptor 2,Y,flag
Mm Hs,RYR1,0.002,0.0,0.0,0.002,0.0,Dendritic cells,Mesoderm,Immune system,"RYR,PPP1R137,MHS,MHS1,CCO",ryanodine receptor 1,Y,flag
Mm Hs,ITGAE,0.033,0.048,0.238,0.133,0.005,Dendritic cells,Mesoderm,Immune system,"CD103,HUMINAE",integrin subunit alpha E,,flag
Mm Hs,SEMA4A,0.013,0.048,0.0,0.002,0.0,Dendritic cells,Mesoderm,Immune system,"SemB,FLJ12287,CORD10,SEMAB",semaphorin 4A,Y,flag
Mm Hs,DPP4,0.02,0.0,0.429,0.014,0.02,Dendritic cells,Mesoderm,Immune system,"CD26,ADCP2",dipeptidyl peptidase 4,,flag
Mm Hs,SLAMF8,0.003,0.0,0.0,0.002,0.0,Dendritic cells,Mesoderm,Immune system,"BLAME,SBBI42,CD353",SLAM family member 8,,flag
Mm Hs,CXCR3,0.005,0.0,0.286,0.006,0.004,Dendritic cells,Mesoderm,Immune system,"CKR-L2,CMKAR3,IP10-R,MigR,CD183,GPR9",C-X-C motif chemokine receptor 3,,flag
Mm Hs,BTLA,0.001,0.0,0.357,0.0,0.001,Dendritic cells,Mesoderm,Immune system,"BTLA1,CD272",B and T lymphocyte associated,,flag
Mm Hs,FLT3,0.009,0.014,0.762,0.0,0.007,Dendritic cells,Mesoderm,Immune system,"FLK2,CD135",fms related tyrosine kinase 3,Y,flag
Mm Hs,TLR3,0.003,0.0,0.0,0.008,0.0,Dendritic cells,Mesoderm,Immune system,CD283,toll like receptor 3,Y,flag
Mm Hs,ITGAX,0.007,0.184,0.167,0.008,0.005,Dendritic cells,Mesoderm,Immune system,"CD11c,CD11C",integrin subunit alpha X,,flag
Mm Hs,GPR132,0.009,0.007,0.595,0.0,0.009,Dendritic cells,Mesoderm,Immune system,G2A,G protein-coupled receptor 132,,flag
Mm Hs,ADAM19,0.013,0.122,0.238,0.019,0.011,Dendritic cells,Mesoderm,Immune system,MLTNB,ADAM metallopeptidase domain 19,,flag
,AMICA1,0.015,0.0,0.476,0.0,0.017,Dendritic cells,Mesoderm,Immune system,,,,flag
Mm Hs,AP1S3,0.003,0.0,0.167,0.004,0.002,Dendritic cells,Mesoderm,Immune system,,adaptor related protein complex 1 subunit sigma 3,Y,flag
Mm Hs,ASS1,0.048,0.0,0.524,0.043,0.047,Dendritic cells,Mesoderm,Immune system,"CTLN1,ASS",argininosuccinate synthase 1,Y,flag
Mm Hs,ADGRG5,0.0,0.0,0.0,0.0,0.0,Dendritic cells,Mesoderm,Immune system,"PGR27,GPR114",adhesion G protein-coupled receptor G5,,flag
Mm Hs,GPR68,0.0,0.0,0.024,0.0,0.0,Dendritic cells,Mesoderm,Immune system,OGR1,G protein-coupled receptor 68,,flag
Mm,H2-EB2,0.0,0.0,0.143,0.0,0.0,Dendritic cells,Mesoderm,Immune system,,"histocompatibility 2, class II antigen E beta2",,flag
Mm Hs,KIT,0.015,0.0,0.071,0.003,0.018,Dendritic cells,Mesoderm,Immune system,"CD117,SCFR,C-Kit,PBT",KIT proto-oncogene receptor tyrosine kinase,Y,flag
Mm,KLRI1,0.0,0.0,0.024,0.0,0.0,Dendritic cells,Mesoderm,Immune system,,killer cell lectin-like receptor family I member 1,,flag
Mm Hs,KMO,0.004,0.0,0.119,0.0,0.005,Dendritic cells,Mesoderm,Immune system,,kynurenine 3-monooxygenase,,flag
Mm Hs,P2RY10,0.004,0.0,0.262,0.001,0.004,Dendritic cells,Mesoderm,Immune system,P2Y10,P2Y receptor family member 10,,flag
Mm Hs,RAB30,0.002,0.0,0.0,0.004,0.0,Dendritic cells,Mesoderm,Immune system,,"RAB30, member RAS oncogene family",,flag
Mm Hs,SEPT6,0.06,0.19,0.0,0.121,0.0,Dendritic cells,Mesoderm,Immune system,"KIAA0128,SEPT2,MGC16619,MGC20339",septin 6,,flag
Mm Hs,ZBTB46,0.0,0.0,0.0,0.0,0.0,Dendritic cells,Mesoderm,Immune system,"FLJ13502,BZEL,ZNF340,BTBD4",zinc finger and BTB domain containing 46,,flag
Mm Hs,S100A4,0.098,0.837,0.0,0.349,0.0,Dendritic cells,Mesoderm,Immune system,"P9KA,18A2,PEL98,42A,CAPL",S100 calcium binding protein A4,,flag
Mm Hs,CLEC7A,0.03,0.626,0.024,0.019,0.025,Dendritic cells,Mesoderm,Immune system,"dectin-1,hDectin-1,CD369,SCARE2,CLECSF12",C-type lectin domain containing 7A,Y,flag
Mm Hs,AIF1,0.085,0.884,0.881,0.095,0.074,Dendritic cells,Mesoderm,Immune system,"IRT-1,AIF-1,Em:AF129756.17,IBA1",allograft inflammatory factor 1,,flag
Mm Hs,LST1,0.082,0.878,0.167,0.069,0.075,Dendritic cells,Mesoderm,Immune system,"B144,D6S49E",leukocyte specific transcript 1,,flag
Mm Hs,CTSS,0.129,0.912,1.0,0.097,0.124,Dendritic cells,Mesoderm,Immune system,,cathepsin S,,flag
Mm,CD209A,0.003,0.0,0.048,0.0,0.004,Dendritic cells,Mesoderm,Immune system,,CD209a antigen,,flag
Mm,CD209B,0.0,0.0,0.0,0.0,0.0,Dendritic cells,Mesoderm,Immune system,,CD209b antigen,,flag
Mm Hs,IRF8,0.069,0.184,0.905,0.02,0.073,Dendritic cells,Mesoderm,Immune system,"IRF-8,ICSBP,ICSBP1",interferon regulatory factor 8,Y,flag
Mm,H2-AB1,0.087,0.0,1.0,0.0,0.101,Dendritic cells,Mesoderm,Immune system,,"histocompatibility 2, class II antigen A, beta 1",,flag
Mm Hs,ADGRE1,0.033,0.007,0.024,0.0,0.041,Dendritic cells,Mesoderm,Immune system,"TM7LN3,EMR1",adhesion G protein-coupled receptor E1,,flag
Mm Hs,CCL17,0.002,0.0,0.19,0.0,0.002,Dendritic cells,Mesoderm,Immune system,"TARC,ABCD-2,SCYA17",C-C motif chemokine ligand 17,,flag
Mm Hs,CD14,0.051,0.279,0.119,0.014,0.055,Dendritic cells,Mesoderm,Immune system,,CD14 molecule,,flag
Mm Hs,CD207,0.001,0.0,0.024,0.0,0.001,Dendritic cells,Mesoderm,Immune system,"Langerin,CLEC4K",CD207 molecule,Y,flag
Mm Hs,CD8A,0.01,0.0,0.071,0.017,0.008,Dendritic cells,Mesoderm,Immune system,CD8,CD8a molecule,Y,flag
Mm Hs,CX3CR1,0.039,0.041,0.048,0.0,0.048,Dendritic cells,Mesoderm,Immune system,"CMKDR1,V28,GPR13,CMKBRL1",C-X3-C motif chemokine receptor 1,Y,flag
Mm,H2-EB1,0.066,0.0,1.0,0.0,0.077,Dendritic cells,Mesoderm,Immune system,,"histocompatibility 2, class II antigen E beta",,flag
Mm Hs,ITGAM,0.025,0.007,0.0,0.003,0.03,Dendritic cells,Mesoderm,Immune system,"CD11b,CR3A,CD11B",integrin subunit alpha M,Y,flag
Mm Hs,LY75,0.003,0.0,0.095,0.0,0.004,Dendritic cells,Mesoderm,Immune system,"DEC-205,CLEC13B,CD205",lymphocyte antigen 75,,flag
Mm Hs,PDCD1LG2,0.0,0.0,0.024,0.0,0.0,Dendritic cells,Mesoderm,Immune system,"PD-L2,Btdc,PDL2,bA574F11.2,CD273,B7-DC",programmed cell death 1 ligand 2,,flag
Mm Hs,PTPRC,0.125,0.782,0.69,0.189,0.105,Dendritic cells,Mesoderm,Immune system,"T200,CD45","protein tyrosine phosphatase, receptor type C",Y,flag
Mm Hs,SIRPA,0.074,0.034,0.0,0.005,0.0,Dendritic cells,Mesoderm,Immune system,"SHPS1,SIRP,MYD-1,BIT,SHPS-1,SIRPalpha,CD172a,SIRPalpha2,MFR,SIRP-ALPHA-1,PTPNS1",signal regulatory protein alpha,,flag
Hs,FCGR3A,0.006,0.327,0.0,0.021,0.0,Dendritic cells,Mesoderm,Immune system,CD16a,Fc fragment of IgG receptor IIIa,Y,flag
Hs,FTL,0.178,0.993,0.0,0.936,0.0,Dendritic cells,Mesoderm,Immune system,"MGC71996,NBIA3",ferritin light chain,Y,flag
Hs,SERPINA1,0.016,0.449,0.0,0.068,0.0,Dendritic cells,Mesoderm,Immune system,"AAT,A1A,PI1,alpha-1-antitrypsin,A1AT,alpha1AT,PI",serpin family A member 1,Y,flag
Mm Hs,AXL,0.054,0.048,0.048,0.057,0.052,Dendritic cells,Mesoderm,Immune system,"UFO,JTK11,Tyro7",AXL receptor tyrosine kinase,,flag
Mm Hs,PPP1R14A,0.07,0.014,0.024,0.078,0.071,Dendritic cells,Mesoderm,Immune system,"CPI-17,PPP1INL",protein phosphatase 1 regulatory inhibitor subunit 14A,,flag
Hs,SIGLEC6,0.0,0.0,0.0,0.0,0.0,Dendritic cells,Mesoderm,Immune system,"OB-BP1,SIGLEC-6,CD327,CD33L,CD33L1",sialic acid binding Ig like lectin 6,,flag
Mm Hs,CD22,0.003,0.0,0.0,0.003,0.002,Dendritic cells,Mesoderm,Immune system,"SIGLEC-2,SIGLEC2",CD22 molecule,,flag
Mm Hs,DAB2,0.068,0.075,0.024,0.047,0.074,Dendritic cells,Mesoderm,Immune system,DOC-2,"DAB2, clathrin adaptor protein",,flag
Mm Hs,S100A8,0.064,0.367,0.0,0.066,0.0,Dendritic cells,Mesoderm,Immune system,"P8,CGLA,CAGA",S100 calcium binding protein A8,,flag
Mm Hs,VCAN,0.056,0.095,0.0,0.097,0.0,Dendritic cells,Mesoderm,Immune system,"PG-M,CSPG2",versican,Y,flag
Hs,LYZ,0.008,0.442,0.0,0.021,0.0,Dendritic cells,Mesoderm,Immune system,,lysozyme,Y,flag
Mm Hs,ANXA1,0.161,0.748,0.476,0.341,0.118,Dendritic cells,Mesoderm,Immune system,"ANX1,LPC1",annexin A1,,flag
Mm Hs,FCER1A,0.004,0.204,0.0,0.01,0.002,Dendritic cells,Mesoderm,Immune system,FCE1A,Fc fragment of IgE receptor Ia,,flag
Hs,C1ORF54,0.008,0.122,0.0,0.037,0.0,Dendritic cells,Mesoderm,Immune system,FLJ23221,chromosome 1 open reading frame 54,,flag
Mm Hs,CADM1,0.161,0.048,0.429,0.074,0.182,Dendritic cells,Mesoderm,Immune system,"NECL2,ST17,BL2,SYNCAM,IGSF4A,Necl-2,SYNCAM1,RA175,TSLC1,IGSF4",cell adhesion molecule 1,,flag
Mm Hs,CAMK2D,0.052,0.048,0.0,0.03,0.059,Dendritic cells,Mesoderm,Immune system,CAMKD,calcium/calmodulin dependent protein kinase II delta,,flag
Mm Hs,LGALS3,0.164,0.585,0.881,0.296,0.126,Dendritic cells,Mesoderm,Immune system,"MAC-2,GALIG,LGALS2",galectin 3,,flag
Mm Hs,NAPSA,0.054,0.007,0.762,0.009,0.061,Dendritic cells,Mesoderm,Immune system,"NAPA,Kdap",napsin A aspartic peptidase,,flag
Mm Hs,PLBD1,0.03,0.068,0.571,0.01,0.032,Dendritic cells,Mesoderm,Immune system,FLJ22662,phospholipase B domain containing 1,,flag
Mm Hs,RNASE6,0.024,0.449,0.0,0.019,0.0,Dendritic cells,Mesoderm,Immune system,"RNaseK6,RNS6",ribonuclease A family member k6,,flag
Mm Hs,PLAC8,0.14,0.361,0.381,0.155,0.13,Dendritic cells,Mesoderm,Immune system,"onzin,C15",placenta specific 8,,flag
Mm,IFITM6,0.02,0.0,0.048,0.0,0.025,Dendritic cells,Mesoderm,Immune system,,interferon induced transmembrane protein 6,,flag
Mm,EAR2,0.009,0.0,0.0,0.0,0.011,Dendritic cells,Mesoderm,Immune system,,"eosinophil-associated, ribonuclease A family, member 2",,flag
Mm Hs,H2AFY,0.385,0.626,0.786,0.28,0.402,Dendritic cells,Mesoderm,Immune system,macroH2A1.2,H2A histone family member Y,,flag
Mm Hs,SLC11A1,0.017,0.075,0.0,0.003,0.0,Dendritic cells,Mesoderm,Immune system,"NRAMP,NRAMP1",solute carrier family 11 member 1,Y,flag
Mm Hs,PDPN,0.062,0.0,0.024,0.025,0.072,Dendritic cells,Mesoderm,Immune system,"T1A-2,Gp38,aggrus,PA2.26",podoplanin,,flag
Mm Hs,S100B,0.066,0.15,0.0,0.028,0.0,Dendritic cells,Mesoderm,Immune system,S100beta,S100 calcium binding protein B,,flag
Mm Hs,CD28,0.011,0.0,0.0,0.003,0.013,Dendritic cells,Mesoderm,Immune system,,CD28 molecule,,flag
Mm Hs,PPL,0.004,0.0,0.0,0.006,0.004,Dendritic cells,Mesoderm,Immune system,,periplakin,,flag
Mm Hs,SLURP1,0.001,0.0,0.0,0.0,0.0,Dendritic cells,Mesoderm,Immune system,"ANUP,MDM,ArsB,LY6LS",secreted LY6/PLAUR domain containing 1,Y,flag
Hs,HLA-A,0.126,0.993,0.0,0.679,0.0,Dendritic cells,Mesoderm,Immune system,,"major histocompatibility complex, class I, A",Y,flag
Hs,HLA-B,0.116,1.0,0.0,0.638,0.0,Dendritic cells,Mesoderm,Immune system,,"major histocompatibility complex, class I, B",Y,flag
Hs,HLA-C,0.113,0.986,0.0,0.608,0.0,Dendritic cells,Mesoderm,Immune system,"HLA-JY3,D6S204,PSORS1","major histocompatibility complex, class I, C",Y,flag
Hs,HLA-DRB5,0.011,0.388,0.0,0.047,0.0,Dendritic cells,Mesoderm,Immune system,,"major histocompatibility complex, class II, DR beta 5",,flag
Mm Hs,SERPINB9,0.018,0.224,0.0,0.024,0.0,Dendritic cells,Mesoderm,Immune system,"CAP3,PI9",serpin family B member 9,,flag
Mm Hs,USMG5,0.022,0.0,0.0,0.023,0.0,Distal tubule cells,Mesoderm,Kidney,,upregulated during skeletal muscle growth 5,,flag
Mm Hs,TRHDE,0.001,0.0,0.0,0.001,0.0,Distal tubule cells,Mesoderm,Kidney,"PGPEP2,TRH-DE,PAP-II",thyrotropin releasing hormone degrading enzyme,,flag
